gene_id,annotation_a,annotation_b,relationship,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,wording differences only (capitalisation)
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,wording differences only (capitalisation)
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Exact,"Adding ""protein"" is a qualifier clean-up according to rule 2"
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,wording differences only (capitalisation and punctuation)
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Exact,"Adding ""protein"" is a qualifier clean-up according to rule 2"
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Narrower,Annotation B adds specificity with the EC number (3.6.4.12) for the helicase activity
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,wording differences only; both annotations describe the same enzyme with the same EC number
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Narrower,"Annotation B specifies the EC number 3.5.1.28, indicating a specific enzymatic activity (N-acetylmuramoyl-L-alanine amidase) within the broader category of phage endolysin described in Annotation A"
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Broader,"Annotation B is more generic, referring to phage homing endonucleases in general, while Annotation A specifies the HNH type"
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,wording differences only; both annotations describe the same enzyme function with accepted synonyms
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Exact,"Adding ""protein"" is a qualifier clean-up according to rule 2"
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,wording differences only (capitalisation and punctuation)
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Exact,wording differences only; both annotations refer to the same enzyme with EC 1.1.1.49
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Narrower,Annotation B specifies additional substrate (Fe(II)) and mechanism (proton-dependent) compared to Annotation A
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Different,"Annotation A is a non-specific term ""hypothetical protein,"" while Annotation B specifies a known protein function and structure, ""Outer membrane beta-barrel assembly protein BamD."""
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,"wording differences only (capitalisation, punctuation, database-accepted synonyms)"
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Narrower,"Annotation B specifies the involvement in an ABC transporter system and includes thiosulfate, adding specificity to the sulfate-binding function described in Annotation A"
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Exact,wording differences only (capitalisation)
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Exact,"wording differences only; ""LysR family"" is a database-accepted synonym for CysB"
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),Different,EC jump changing catalytic class (5.99 to 5.6) indicates different functions
fig|374463.4.peg.291,YciL protein,YciI protein,Uninformative,Neither term provides enough functional information
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),Narrower,"Annotation B includes an additional EC number (EC 4.2.99.18), indicating a more specific function"
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Exact,"""## RluD"" is a gene symbol addition, which does not change the biological function (Qualifier clean-up rule)"
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Exact,"wording differences only; ""TrmD"" is a gene symbol, which falls under qualifier clean-up rule"
